week,timestamp,source_window,total_load,mean_od,p95_od,max_od,cv_od,next_total_load,relative_change
X01,2004-03-01T00:00:00,0,0.84614738,0.00587602,0.02543097,0.05222217,1.50504550,0.82435061,-0.02576002
X01,2004-03-01T00:40:00,8,0.83945097,0.00582952,0.02437581,0.05344212,1.54234694,0.80901839,-0.03625296
X01,2004-03-01T01:25:00,17,0.88562323,0.00615016,0.02517415,0.05903671,1.50503433,0.86617274,-0.02196249
X01,2004-03-01T02:05:00,25,0.86002558,0.00597240,0.02260765,0.05346254,1.47454954,0.87576943,0.01830626
X01,2004-03-01T02:50:00,34,0.90261314,0.00626815,0.02206451,0.06399292,1.46867176,0.86602596,-0.04053473
X01,2004-03-01T03:30:00,42,0.95646199,0.00664210,0.02595241,0.05700728,1.44668941,0.89452819,-0.06475301
X01,2004-03-01T04:15:00,51,0.88151381,0.00612162,0.02135978,0.06029288,1.44980954,0.89519729,0.01552271
X01,2004-03-01T04:55:00,59,0.88917217,0.00617481,0.02155084,0.05284911,1.42390218,0.87664776,-0.01408547
X01,2004-03-01T05:35:00,67,0.87374969,0.00606771,0.02243579,0.04588877,1.39438176,0.91112811,0.04277932
X01,2004-03-01T06:20:00,76,0.85806909,0.00595881,0.02291615,0.04990410,1.40012793,0.87483119,0.01953467
X01,2004-03-01T07:00:00,84,0.87639796,0.00608610,0.02512967,0.04608008,1.38489443,0.86633794,-0.01147882
X01,2004-03-01T07:45:00,93,0.87429329,0.00607148,0.02314107,0.05131268,1.44192228,0.85007670,-0.02769847
X01,2004-03-01T08:25:00,101,0.83048834,0.00576728,0.02120515,0.07112299,1.60139368,0.85970414,0.03517906
X01,2004-03-01T09:10:00,110,0.88981233,0.00617925,0.02141300,0.08242663,1.64240198,0.84324623,-0.05233250
X01,2004-03-01T09:50:00,118,0.84224583,0.00584893,0.01870724,0.10270211,1.89151971,0.80445232,-0.04487230
X01,2004-03-01T10:30:00,126,0.86596986,0.00601368,0.02184110,0.10102001,1.87443001,0.86030615,-0.00654030
X01,2004-03-01T11:15:00,135,0.79357223,0.00551092,0.02018948,0.09885205,1.98083061,0.79677493,0.00403581
X01,2004-03-01T11:55:00,143,0.77065470,0.00535177,0.02035754,0.08369220,1.88837204,0.88211331,0.14462847
X01,2004-03-01T12:40:00,152,0.81069704,0.00562984,0.02290821,0.08290504,1.90733006,0.79076518,-0.02458608
X01,2004-03-01T13:20:00,160,0.81298100,0.00564570,0.01957597,0.10569987,1.98985409,0.85116201,0.04696421
