timestamp,source_window,total_load,mean_od,p95_od,max_od,cv_od,next_total_load,relative_change
2004-03-01T00:00:00,0,0.84614738,0.00587602,0.02543097,0.05222217,1.50504550,0.82435061,-0.02576002
2004-03-01T00:40:00,8,0.83945097,0.00582952,0.02437581,0.05344212,1.54234694,0.80901839,-0.03625296
2004-03-01T01:20:00,16,0.86470288,0.00600488,0.02528591,0.05550136,1.49547162,0.88562323,0.02419368
2004-03-01T02:05:00,25,0.86002558,0.00597240,0.02260765,0.05346254,1.47454954,0.87576943,0.01830626
2004-03-01T02:45:00,33,0.89316811,0.00620256,0.02400874,0.05941544,1.41312474,0.90261314,0.01057475
2004-03-01T03:30:00,42,0.95646199,0.00664210,0.02595241,0.05700728,1.44668941,0.89452819,-0.06475301
2004-03-01T04:10:00,50,0.89761483,0.00623344,0.02235855,0.05085722,1.37524908,0.88151381,-0.01793756
2004-03-01T04:50:00,58,0.88366779,0.00613658,0.02094952,0.05080417,1.40211726,0.88917217,0.00622901
2004-03-01T05:35:00,67,0.87374969,0.00606771,0.02243579,0.04588877,1.39438176,0.91112811,0.04277932
2004-03-01T06:15:00,75,0.86571882,0.00601194,0.02324582,0.06003621,1.47607079,0.85806909,-0.00883627
2004-03-01T07:00:00,84,0.87639796,0.00608610,0.02512967,0.04608008,1.38489443,0.86633794,-0.01147882
2004-03-01T07:40:00,92,0.88194841,0.00612464,0.02231885,0.05552499,1.46638957,0.87429329,-0.00867978
2004-03-01T08:25:00,101,0.83048834,0.00576728,0.02120515,0.07112299,1.60139368,0.85970414,0.03517906
2004-03-01T09:05:00,109,0.83828598,0.00582143,0.02099374,0.07568838,1.69029911,0.88981233,0.06146631
2004-03-01T09:45:00,117,0.85563706,0.00594192,0.02034815,0.10137720,1.88529720,0.84224583,-0.01565060
2004-03-01T10:30:00,126,0.86596986,0.00601368,0.02184110,0.10102001,1.87443001,0.86030615,-0.00654030
2004-03-01T11:10:00,134,0.83942048,0.00582931,0.01981055,0.09106528,1.83059195,0.79357223,-0.05461893
2004-03-01T11:55:00,143,0.77065470,0.00535177,0.02035754,0.08369220,1.88837204,0.88211331,0.14462847
2004-03-01T12:35:00,151,0.79196198,0.00549974,0.02509263,0.08160995,1.84891636,0.81069704,0.02365652
2004-03-01T13:20:00,160,0.81298100,0.00564570,0.01957597,0.10569987,1.98985409,0.85116201,0.04696421
2004-03-01T14:00:00,168,0.91525981,0.00635597,0.02431172,0.11283261,1.95284953,0.89215673,-0.02524211
2004-03-01T14:40:00,176,1.02871421,0.00714385,0.03178538,0.10846888,1.83141667,1.00535771,-0.02270455
2004-03-01T15:25:00,185,1.06183021,0.00737382,0.02823125,0.11089238,1.75306184,1.10728523,0.04280819
2004-03-01T16:05:00,193,1.05362850,0.00731686,0.02856019,0.10267744,1.68552248,1.09838785,0.04248116
2004-03-01T16:50:00,202,1.20265832,0.00835179,0.03269186,0.09909762,1.55853376,1.22665780,0.01995536
2004-03-01T17:30:00,210,1.30769414,0.00908121,0.03157896,0.11070213,1.49020570,1.28933367,-0.01404034
2004-03-01T18:15:00,219,1.29736623,0.00900949,0.03197665,0.10644954,1.47954927,1.26461256,-0.02524628
2004-03-01T18:55:00,227,1.27149511,0.00882983,0.03150032,0.08473665,1.36222277,1.30797944,0.02869404
2004-03-01T19:35:00,235,1.35507248,0.00941023,0.03584346,0.09356416,1.37011520,1.36392086,0.00652982
2004-03-01T20:20:00,244,1.33500936,0.00927090,0.03018194,0.09830252,1.41054207,1.33689748,0.00141432
2004-03-01T21:00:00,252,1.26913856,0.00881346,0.02999766,0.08437070,1.33401804,1.24564518,-0.01851128
2004-03-01T21:45:00,261,1.30884648,0.00908921,0.03095075,0.06956489,1.27396921,1.32297659,0.01079585
2004-03-01T22:25:00,269,1.31075985,0.00910250,0.02974873,0.08831794,1.33485553,1.34050993,0.02269682
2004-03-01T23:10:00,278,1.46899072,0.01020132,0.03149395,0.28190769,2.46663480,1.36335802,-0.07190835
2004-03-01T23:50:00,286,1.19697692,0.00831234,0.02966132,0.06042628,1.27997886,1.16795614,-0.02424506
2004-03-02T00:30:00,294,1.17684324,0.00817252,0.02896137,0.06562678,1.29419996,1.16637466,-0.00889548
2004-03-02T01:15:00,303,1.42831002,0.00991882,0.02940840,0.28267038,2.56915423,1.15479508,-0.19149550
2004-03-02T01:55:00,311,1.13971940,0.00791472,0.03012470,0.05919466,1.38244325,1.20113303,0.05388487
2004-03-02T02:40:00,320,1.21174489,0.00841490,0.03281469,0.07027516,1.38920062,1.17698069,-0.02868937
2004-03-02T03:20:00,328,1.15564153,0.00802529,0.03012770,0.06669610,1.33028055,1.18018013,0.02123375
2004-03-02T04:05:00,337,1.11087868,0.00771444,0.02563459,0.06519471,1.35775110,1.15379742,0.03863495
2004-03-02T04:45:00,345,1.14110013,0.00792431,0.02711978,0.06233695,1.38272943,1.11942570,-0.01899433
2004-03-02T05:25:00,353,1.10422443,0.00766823,0.02758069,0.08242558,1.40713604,1.11575835,0.01044527
