n,seed,context,policy,action,utility,deadline_miss,infeasible
12,8,0,P1,local-sim,-0.10849195115906829,0,0
12,8,0,utility-only,local-sim,-0.10849195115906829,0,0
12,8,0,logged-IPW,local-sim,-0.10849195115906829,0,0
12,8,0,LinUCB,local-sim,-0.10849195115906829,0,0
12,8,0,Pareto,local-sim,-0.10849195115906829,0,0
12,8,0,oracle,local-sim,-0.10849195115906829,0,0
12,8,0,train-selected fixed,local-sim,-0.10849195115906829,0,0
12,8,0,always invoke-QPU,invoke-QPU,-0.13703176131694395,0,0
12,8,0,always remote-sim,remote-sim,-0.19210348925713155,0,0
12,8,0,always local-sim,local-sim,-0.10849195115906829,0,0
12,8,0,always fallback,fallback,-0.20786360483224073,0,0
12,8,1,P1,local-sim,-0.1124112003086821,0,0
12,8,1,utility-only,local-sim,-0.1124112003086821,0,0
12,8,1,logged-IPW,local-sim,-0.1124112003086821,0,0
12,8,1,LinUCB,local-sim,-0.1124112003086821,0,0
12,8,1,Pareto,local-sim,-0.1124112003086821,0,0
12,8,1,oracle,local-sim,-0.1124112003086821,0,0
12,8,1,train-selected fixed,local-sim,-0.1124112003086821,0,0
12,8,1,always invoke-QPU,invoke-QPU,-0.17711273378486841,0,0
12,8,1,always remote-sim,remote-sim,-0.20275843369554097,0,0
12,8,1,always local-sim,local-sim,-0.1124112003086821,0,0
12,8,1,always fallback,fallback,-0.21319010788226306,0,0
12,8,2,P1,local-sim,-0.09868506062595127,0,0
12,8,2,utility-only,local-sim,-0.09868506062595127,0,0
12,8,2,logged-IPW,local-sim,-0.09868506062595127,0,0
12,8,2,LinUCB,local-sim,-0.09868506062595127,0,0
12,8,2,Pareto,local-sim,-0.09868506062595127,0,0
12,8,2,oracle,local-sim,-0.09868506062595127,0,0
12,8,2,train-selected fixed,local-sim,-0.09868506062595127,0,0
12,8,2,always invoke-QPU,invoke-QPU,-2.501189408009075,1,0
12,8,2,always remote-sim,remote-sim,-11.627455832352464,1,0
12,8,2,always local-sim,local-sim,-0.09868506062595127,0,0
12,8,2,always fallback,fallback,-0.19160933536710104,0,0
12,8,3,P1,local-sim,-0.09433632718768609,0,0
12,8,3,utility-only,local-sim,-0.09433632718768609,0,0
12,8,3,logged-IPW,local-sim,-0.09433632718768609,0,0
12,8,3,LinUCB,local-sim,-0.09433632718768609,0,0
12,8,3,Pareto,local-sim,-0.09433632718768609,0,0
12,8,3,oracle,local-sim,-0.09433632718768609,0,0
12,8,3,train-selected fixed,local-sim,-0.09433632718768609,0,0
12,8,3,always invoke-QPU,invoke-QPU,-0.22533822972821754,0,0
12,8,3,always remote-sim,remote-sim,-0.2558046468372949,0,0
12,8,3,always local-sim,local-sim,-0.09433632718768609,0,0
12,8,3,always fallback,fallback,-0.21217099070528975,0,0
12,8,4,P1,local-sim,-0.09545577512668207,0,0
12,8,4,utility-only,local-sim,-0.09545577512668207,0,0
12,8,4,logged-IPW,local-sim,-0.09545577512668207,0,0
12,8,4,LinUCB,remote-sim,-0.1917104251083414,0,0
12,8,4,Pareto,local-sim,-0.09545577512668207,0,0
12,8,4,oracle,local-sim,-0.09545577512668207,0,0
12,8,4,train-selected fixed,local-sim,-0.09545577512668207,0,0
12,8,4,always invoke-QPU,invoke-QPU,-0.1338579091652824,0,0
12,8,4,always remote-sim,remote-sim,-0.1917104251083414,0,0
12,8,4,always local-sim,local-sim,-0.09545577512668207,0,0
12,8,4,always fallback,fallback,-0.1924985971853875,0,0
12,8,5,P1,local-sim,-0.11384809944089483,0,0
12,8,5,utility-only,local-sim,-0.11384809944089483,0,0
12,8,5,logged-IPW,local-sim,-0.11384809944089483,0,0
12,8,5,LinUCB,local-sim,-0.11384809944089483,0,0
12,8,5,Pareto,local-sim,-0.11384809944089483,0,0
12,8,5,oracle,local-sim,-0.11384809944089483,0,0
12,8,5,train-selected fixed,local-sim,-0.11384809944089483,0,0
12,8,5,always invoke-QPU,invoke-QPU,-7.630022228050894,1,1
12,8,5,always remote-sim,remote-sim,-11.55325242042633,1,1
12,8,5,always local-sim,local-sim,-0.11384809944089483,0,0
12,8,5,always fallback,fallback,-0.20350194595496401,0,0
12,8,6,P1,local-sim,-0.10773536939761537,0,0
12,8,6,utility-only,local-sim,-0.10773536939761537,0,0
12,8,6,logged-IPW,local-sim,-0.10773536939761537,0,0
12,8,6,LinUCB,local-sim,-0.10773536939761537,0,0
12,8,6,Pareto,local-sim,-0.10773536939761537,0,0
12,8,6,oracle,local-sim,-0.10773536939761537,0,0
12,8,6,train-selected fixed,local-sim,-0.10773536939761537,0,0
12,8,6,always invoke-QPU,invoke-QPU,-0.12369124399310172,0,0
12,8,6,always remote-sim,remote-sim,-0.14778835966991372,0,0
12,8,6,always local-sim,local-sim,-0.10773536939761537,0,0
12,8,6,always fallback,fallback,-0.22116208284591027,0,0
12,8,7,P1,local-sim,-0.10812119681874578,0,0
