n,policy,utility,miss,infeasible,scenario
12,P1,-0.1100077884083814,0.0016666666666666668,0.0,outage=0.05
12,oracle,-0.10673914376618257,0.0,0.0,outage=0.05
12,train-selected fixed,-0.1100077884083814,0.0016666666666666668,0.0,outage=0.05
20,P1,-0.17407185780898507,0.0,0.0016666666666666668,outage=0.05
20,oracle,-0.15993374900578183,0.0,0.0,outage=0.05
20,train-selected fixed,-0.20194736831330182,0.0,0.0,outage=0.05
12,P1,-0.11006013237473646,0.0016666666666666668,0.0,outage=0.15
12,oracle,-0.1067914877325376,0.0,0.0,outage=0.15
12,train-selected fixed,-0.11006013237473646,0.0016666666666666668,0.0,outage=0.15
20,P1,-0.1811462512051537,0.0,0.0016666666666666668,outage=0.15
20,oracle,-0.1640179905004634,0.0,0.0,outage=0.15
20,train-selected fixed,-0.20185171371221788,0.0,0.0,outage=0.15
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,outage=0.3
12,oracle,-0.10687571220005405,0.0,0.0,outage=0.3
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,outage=0.3
20,P1,-0.17793582281659617,0.0,0.0,outage=0.3
20,oracle,-0.17016078561360898,0.0,0.0,outage=0.3
20,train-selected fixed,-0.20197584292064635,0.0,0.0,outage=0.3
12,P1,-0.10675976437816821,0.0,0.0,outage=0.5
12,oracle,-0.1067125189642426,0.0,0.0,outage=0.5
12,train-selected fixed,-0.10675976437816821,0.0,0.0,outage=0.5
20,P1,-0.18620052547635527,0.0016666666666666668,0.0,outage=0.5
20,oracle,-0.17916645699161193,0.0,0.0,outage=0.5
20,train-selected fixed,-0.20213755736524933,0.0,0.0,outage=0.5
12,P1,-0.12014257284463575,0.005,0.0,deadline=0.5
12,oracle,-0.10723162595299954,0.0,0.0,deadline=0.5
12,train-selected fixed,-0.11680022888999546,0.005,0.0,deadline=0.5
20,P1,-0.18432812357060746,0.0,0.0,deadline=0.5
20,oracle,-0.17526262647109622,0.0,0.0,deadline=0.5
20,train-selected fixed,-0.20197584292064635,0.0,0.0,deadline=0.5
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,deadline=1.0
12,oracle,-0.10687571220005405,0.0,0.0,deadline=1.0
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,deadline=1.0
20,P1,-0.17793582281659617,0.0,0.0,deadline=1.0
20,oracle,-0.17016078561360898,0.0,0.0,deadline=1.0
20,train-selected fixed,-0.20197584292064635,0.0,0.0,deadline=1.0
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,deadline=2.0
12,oracle,-0.10687571220005405,0.0,0.0,deadline=2.0
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,deadline=2.0
20,P1,-0.17595936142102628,0.0,0.0,deadline=2.0
20,oracle,-0.16745799057901026,0.0,0.0,deadline=2.0
20,train-selected fixed,-0.20197584292064635,0.0,0.0,deadline=2.0
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,queue=0.5
12,oracle,-0.10687457407430874,0.0,0.0,queue=0.5
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,queue=0.5
20,P1,-0.16673838330578658,0.0,0.0,queue=0.5
20,oracle,-0.16108397535049068,0.0,0.0,queue=0.5
20,train-selected fixed,-0.20197584292064635,0.0,0.0,queue=0.5
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,queue=1.0
12,oracle,-0.10687571220005405,0.0,0.0,queue=1.0
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,queue=1.0
20,P1,-0.17793582281659617,0.0,0.0,queue=1.0
20,oracle,-0.17016078561360898,0.0,0.0,queue=1.0
20,train-selected fixed,-0.20197584292064635,0.0,0.0,queue=1.0
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,queue=2.0
12,oracle,-0.10687798845154468,0.0,0.0,queue=2.0
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,queue=2.0
20,P1,-0.18501093564057244,0.0,0.0,queue=2.0
20,oracle,-0.1774977898604665,0.0,0.0,queue=2.0
20,train-selected fixed,-0.20197584292064635,0.0,0.0,queue=2.0
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,error=0.5
12,oracle,-0.1068584934724349,0.0,0.0,error=0.5
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,error=0.5
20,P1,-0.17315831336244855,0.0,0.0,error=0.5
20,oracle,-0.16462350830421899,0.0,0.0,error=0.5
20,train-selected fixed,-0.20197584292064635,0.0,0.0,error=0.5
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,error=1.0
12,oracle,-0.10687571220005405,0.0,0.0,error=1.0
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,error=1.0
20,P1,-0.17793582281659617,0.0,0.0,error=1.0
20,oracle,-0.17016078561360898,0.0,0.0,error=1.0
20,train-selected fixed,-0.20197584292064635,0.0,0.0,error=1.0
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,error=2.0
12,oracle,-0.10687864956496407,0.0,0.0,error=2.0
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,error=2.0
20,P1,-0.18503684153085617,0.0,0.0,error=2.0
20,oracle,-0.17875061401509854,0.0,0.0,error=2.0
20,train-selected fixed,-0.20197584292064635,0.0,0.0,error=2.0
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,shots=128
12,oracle,-0.10685759124293466,0.0,0.0,shots=128
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,shots=128
20,P1,-0.17513476927193308,0.0,0.0,shots=128
20,oracle,-0.16634755016538258,0.0,0.0,shots=128
20,train-selected fixed,-0.20197584292064635,0.0,0.0,shots=128
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,shots=512
12,oracle,-0.10687571220005405,0.0,0.0,shots=512
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,shots=512
20,P1,-0.17793582281659617,0.0,0.0,shots=512
20,oracle,-0.17016078561360898,0.0,0.0,shots=512
20,train-selected fixed,-0.20197584292064635,0.0,0.0,shots=512
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,shots=2048
12,oracle,-0.10687864956496407,0.0,0.0,shots=2048
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,shots=2048
20,P1,-0.19190661400957768,0.0,0.0,shots=2048
20,oracle,-0.19119026505849598,0.0,0.0,shots=2048
20,train-selected fixed,-0.20197584292064635,0.0,0.0,shots=2048
12,P1,-0.11203312015107557,0.0016666666666666668,0.0,reuse=0.25
12,oracle,-0.10877865988382482,0.0,0.0,reuse=0.25
12,train-selected fixed,-0.11203312015107557,0.0016666666666666668,0.0,reuse=0.25
20,P1,-0.18082744164716025,0.0,0.0,reuse=0.25
20,oracle,-0.17247322029560005,0.0,0.0,reuse=0.25
20,train-selected fixed,-0.20197584292064635,0.0,0.0,reuse=0.25
12,P1,-0.11013356222332879,0.0016666666666666668,0.0,reuse=1.0
12,oracle,-0.10687571220005405,0.0,0.0,reuse=1.0
12,train-selected fixed,-0.11013356222332879,0.0016666666666666668,0.0,reuse=1.0
20,P1,-0.17793582281659617,0.0,0.0,reuse=1.0
20,oracle,-0.17016078561360898,0.0,0.0,reuse=1.0
20,train-selected fixed,-0.20197584292064635,0.0,0.0,reuse=1.0
12,P1,-0.10873987197189566,0.0016666666666666668,0.0,reuse=4.0
12,oracle,-0.1053419398295099,0.0,0.0,reuse=4.0
12,train-selected fixed,-0.10869298449130518,0.0016666666666666668,0.0,reuse=4.0
20,P1,-0.17542889488352287,0.0,0.0,reuse=4.0
20,oracle,-0.16794964980577615,0.0,0.0,reuse=4.0
20,train-selected fixed,-0.20197584292064635,0.0,0.0,reuse=4.0
12,P1,-0.11346689555666212,0.0016666666666666668,0.0,latency-priority
12,oracle,-0.10687571220005405,0.0,0.0,latency-priority
12,train-selected fixed,-0.11346689555666212,0.0016666666666666668,0.0,latency-priority
20,P1,-0.18107381193630404,0.0,0.0,latency-priority
20,oracle,-0.17016078561360898,0.0,0.0,latency-priority
20,train-selected fixed,-0.20197584292064635,0.0,0.0,latency-priority
12,P1,-0.12293622901657038,0.0016666666666666668,0.0,cost-priority
12,oracle,-0.11972830029659333,0.0,0.0,cost-priority
12,train-selected fixed,-0.12293622901657038,0.0016666666666666668,0.0,cost-priority
20,P1,-0.20477584292064635,0.0,0.0,cost-priority
20,oracle,-0.2047418234662765,0.0,0.0,cost-priority
20,train-selected fixed,-0.20477584292064635,0.0,0.0,cost-priority
12,P1,-0.09993078447965574,0.0016666666666666668,0.0,quality-priority
12,oracle,-0.09768033678412644,0.0,0.0,quality-priority
12,train-selected fixed,-0.10397565742525976,0.0016666666666666668,0.0,quality-priority
20,P1,-0.14778700408728448,0.0,0.0016666666666666668,quality-priority
20,oracle,-0.1336435593911188,0.0,0.0,quality-priority
20,train-selected fixed,-0.20117584292064636,0.0,0.0,quality-priority
12,P1,-0.11562041942043232,0.0016666666666666668,0.0,normalizers-tight
12,oracle,-0.11242884312712195,0.0,0.0,normalizers-tight
12,train-selected fixed,-0.11562041942043232,0.0016666666666666668,0.0,normalizers-tight
20,P1,-0.20085866743793682,0.0,0.0,normalizers-tight
20,oracle,-0.19844317452476046,0.0,0.0,normalizers-tight
20,train-selected fixed,-0.2031758429206464,0.0,0.0,normalizers-tight
12,P1,-0.10653075389277272,0.0016666666666666668,0.0,normalizers-loose
12,oracle,-0.10215454145379567,0.0,0.0,normalizers-loose
12,train-selected fixed,-0.10739013362477702,0.0016666666666666668,0.0,normalizers-loose
20,P1,-0.1625289994217064,0.0,0.0016666666666666668,normalizers-loose
20,oracle,-0.1460776394710036,0.0,0.0,normalizers-loose
20,train-selected fixed,-0.20137584292064636,0.0,0.0,normalizers-loose
