dataset,seed,method,accuracy,brier,ece,public_size,private_size,public_fraction,test_size,clients,noniid,noise_lambda,shots,rounds,bytes,inference_models,membership_auc,membership_null_auc,inference_ms,parameter_bytes,min_client_contribution,mean_client_contribution
cancer,0,best local,0.8321167883211679,0.13775635258660562,0.14363798139463063,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6335079781378009,0.5135372293870729,0.197792,104,-0.058394160583941646,0.009732360097323589
cancer,0,unweighted ensemble,0.8321167883211679,0.12762007301736508,0.18943435320658186,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6335079781378009,0.5135372293870729,0.407292,264,-0.058394160583941646,0.009732360097323589
cancer,0,weighted ensemble,0.8175182481751825,0.1323637501636714,0.1305018597884038,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6335079781378009,0.5135372293870729,0.390042,264,-0.058394160583941646,0.009732360097323589
cancer,0,hard transfer,0.8321167883211679,0.1278150908336287,0.15837983216528886,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6335079781378009,0.5135372293870729,0.005125,56,-0.058394160583941646,0.009732360097323589
cancer,0,FedDF,0.8394160583941606,0.13603248299834242,0.19155108295113413,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6335079781378009,0.5135372293870729,0.004375,56,-0.058394160583941646,0.009732360097323589
cancer,0,FedMD-1r,0.8905109489051095,0.10347344279937139,0.2252207702532535,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6335079781378009,0.5135372293870729,0.400792,264,-0.058394160583941646,0.009732360097323589
cancer,0,FedMD-2r,0.9051094890510949,0.09335242560348309,0.20863539903186168,137,295,0.24,137,3,severe,0.55,64,2,6576,3,0.6335079781378009,0.5135372293870729,0.402417,264,-0.058394160583941646,0.009732360097323589
cancer,0,FedMD,0.9197080291970803,0.08772415686131957,0.19837750526927084,137,295,0.24,137,3,severe,0.55,64,3,9864,3,0.6335079781378009,0.5135372293870729,0.410666,264,-0.058394160583941646,0.009732360097323589
cancer,0,centralized reference,0.927007299270073,0.03756483672071832,0.07259169301027905,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6335079781378009,0.5135372293870729,0.004583,56,-0.058394160583941646,0.009732360097323589
cancer,1,best local,0.8029197080291971,0.14584072010527074,0.15111761587832973,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.577633176694699,0.4447162924743739,0.201042,104,-0.08029197080291972,0.012165450121654523
cancer,1,unweighted ensemble,0.8029197080291971,0.15212311636187176,0.14767220594714572,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.577633176694699,0.4447162924743739,0.413625,264,-0.08029197080291972,0.012165450121654523
cancer,1,weighted ensemble,0.781021897810219,0.1497260748068913,0.1472384944696039,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.577633176694699,0.4447162924743739,0.390333,264,-0.08029197080291972,0.012165450121654523
cancer,1,hard transfer,0.7445255474452555,0.19849193226933423,0.19173835994307056,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.577633176694699,0.4447162924743739,0.004209,56,-0.08029197080291972,0.012165450121654523
cancer,1,FedDF,0.8248175182481752,0.15964514801907384,0.16154480414642916,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.577633176694699,0.4447162924743739,0.004125,56,-0.08029197080291972,0.012165450121654523
cancer,1,FedMD-1r,0.8540145985401459,0.12728602448144488,0.20751491860683904,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.577633176694699,0.4447162924743739,0.404583,264,-0.08029197080291972,0.012165450121654523
cancer,1,FedMD-2r,0.8905109489051095,0.11806179804227745,0.21693213874626951,137,295,0.24,137,3,severe,0.55,64,2,6576,3,0.577633176694699,0.4447162924743739,0.402959,264,-0.08029197080291972,0.012165450121654523
cancer,1,FedMD,0.9051094890510949,0.11386528287969463,0.2228031534800128,137,295,0.24,137,3,severe,0.55,64,3,9864,3,0.577633176694699,0.4447162924743739,0.399417,264,-0.08029197080291972,0.012165450121654523
cancer,1,centralized reference,0.9416058394160584,0.04584162726624034,0.04647109093483158,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.577633176694699,0.4447162924743739,0.004417,56,-0.08029197080291972,0.012165450121654523
cancer,2,best local,0.781021897810219,0.16443245503956194,0.17523879766073475,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6648878677033004,0.4892457019672869,0.204083,104,-0.051094890510948954,0.0
cancer,2,unweighted ensemble,0.8248175182481752,0.14345575416913517,0.19313041006343223,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6648878677033004,0.4892457019672869,0.412459,264,-0.051094890510948954,0.0
cancer,2,weighted ensemble,0.7664233576642335,0.15243706844969543,0.1408310326324977,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6648878677033004,0.4892457019672869,0.417583,264,-0.051094890510948954,0.0
cancer,2,hard transfer,0.781021897810219,0.17866248359058615,0.19028916773743634,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6648878677033004,0.4892457019672869,0.004667,56,-0.051094890510948954,0.0
cancer,2,FedDF,0.8394160583941606,0.15343994839638211,0.1733312938818077,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6648878677033004,0.4892457019672869,0.004417,56,-0.051094890510948954,0.0
cancer,2,FedMD-1r,0.8832116788321168,0.12516629595326104,0.22400006592165866,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6648878677033004,0.4892457019672869,0.405458,264,-0.051094890510948954,0.0
cancer,2,FedMD-2r,0.9124087591240876,0.11953530793445342,0.24523471725226123,137,295,0.24,137,3,severe,0.55,64,2,6576,3,0.6648878677033004,0.4892457019672869,0.402583,264,-0.051094890510948954,0.0
cancer,2,FedMD,0.9197080291970803,0.11731451161686876,0.2516290030363302,137,295,0.24,137,3,severe,0.55,64,3,9864,3,0.6648878677033004,0.4892457019672869,0.410667,264,-0.051094890510948954,0.0
cancer,2,centralized reference,0.9562043795620438,0.041633864297022,0.051598764593346357,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6648878677033004,0.4892457019672869,0.005083,56,-0.051094890510948954,0.0
cancer,3,best local,0.8613138686131386,0.09044003314225695,0.1203173240174914,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6659978302314068,0.5084541226355616,0.203125,104,-0.08759124087591241,0.04379562043795615
cancer,3,unweighted ensemble,0.8540145985401459,0.1199346889899197,0.22215994336026623,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6659978302314068,0.5084541226355616,0.393583,264,-0.08759124087591241,0.04379562043795615
cancer,3,weighted ensemble,0.8467153284671532,0.10247122418538901,0.15594293882479685,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6659978302314068,0.5084541226355616,0.400584,264,-0.08759124087591241,0.04379562043795615
cancer,3,hard transfer,0.8905109489051095,0.09004454419168179,0.09741956325871436,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6659978302314068,0.5084541226355616,0.0045,56,-0.08759124087591241,0.04379562043795615
cancer,3,FedDF,0.8394160583941606,0.13748308740022278,0.22307441317924642,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6659978302314068,0.5084541226355616,0.004417,56,-0.08759124087591241,0.04379562043795615
cancer,3,FedMD-1r,0.9124087591240876,0.10037908540826977,0.21097074333909363,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6659978302314068,0.5084541226355616,0.406041,264,-0.08759124087591241,0.04379562043795615
cancer,3,FedMD-2r,0.9124087591240876,0.09089731987218595,0.20136814518097124,137,295,0.24,137,3,severe,0.55,64,2,6576,3,0.6659978302314068,0.5084541226355616,0.413083,264,-0.08759124087591241,0.04379562043795615
cancer,3,FedMD,0.9197080291970803,0.08548254705590186,0.19041757768798165,137,295,0.24,137,3,severe,0.55,64,3,9864,3,0.6659978302314068,0.5084541226355616,0.416667,264,-0.08759124087591241,0.04379562043795615
cancer,3,centralized reference,0.9197080291970803,0.04734630525519162,0.07091834894817378,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6659978302314068,0.5084541226355616,0.004917,56,-0.08759124087591241,0.04379562043795615
cancer,4,best local,0.8321167883211679,0.10906155388915893,0.09649087410462055,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6281006098524347,0.5259456875723821,0.207875,104,0.007299270072992692,0.09002433090024331
cancer,4,unweighted ensemble,0.8759124087591241,0.1338695362690909,0.22250022431876787,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6281006098524347,0.5259456875723821,0.414708,264,0.007299270072992692,0.09002433090024331
cancer,4,weighted ensemble,0.8321167883211679,0.11702096347723943,0.1407105552688818,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6281006098524347,0.5259456875723821,0.421458,264,0.007299270072992692,0.09002433090024331
cancer,4,hard transfer,0.8175182481751825,0.15148842021119563,0.16045409161058483,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6281006098524347,0.5259456875723821,0.004292,56,0.007299270072992692,0.09002433090024331
cancer,4,FedDF,0.8102189781021898,0.15547156143861887,0.23633394081226597,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6281006098524347,0.5259456875723821,0.00425,56,0.007299270072992692,0.09002433090024331
cancer,4,FedMD-1r,0.9197080291970803,0.10662861498197815,0.2676076147495075,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6281006098524347,0.5259456875723821,0.411875,264,0.007299270072992692,0.09002433090024331
cancer,4,FedMD-2r,0.927007299270073,0.09238328018009422,0.23911545822658584,137,295,0.24,137,3,severe,0.55,64,2,6576,3,0.6281006098524347,0.5259456875723821,0.419041,264,0.007299270072992692,0.09002433090024331
cancer,4,FedMD,0.927007299270073,0.08447620951508095,0.22288666102656746,137,295,0.24,137,3,severe,0.55,64,3,9864,3,0.6281006098524347,0.5259456875723821,0.421041,264,0.007299270072992692,0.09002433090024331
cancer,4,centralized reference,0.9781021897810219,0.030833293383670014,0.06475457317602638,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6281006098524347,0.5259456875723821,0.004625,56,0.007299270072992692,0.09002433090024331
cancer,5,best local,0.8248175182481752,0.12142433996019879,0.1436101660809963,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6403257461651622,0.5026542800265428,0.214208,104,-0.03649635036496357,0.03649635036496346
cancer,5,unweighted ensemble,0.8394160583941606,0.1446684470450445,0.2657285269547103,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6403257461651622,0.5026542800265428,0.429583,264,-0.03649635036496357,0.03649635036496346
cancer,5,weighted ensemble,0.7956204379562044,0.13069518086770165,0.1778810800023487,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6403257461651622,0.5026542800265428,0.417916,264,-0.03649635036496357,0.03649635036496346
cancer,5,hard transfer,0.8248175182481752,0.12911129497503263,0.15677137885065295,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6403257461651622,0.5026542800265428,0.005,56,-0.03649635036496357,0.03649635036496346
cancer,5,FedDF,0.8321167883211679,0.15631541840702687,0.21515256930808274,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6403257461651622,0.5026542800265428,0.004625,56,-0.03649635036496357,0.03649635036496346
cancer,5,FedMD-1r,0.927007299270073,0.11652912715006129,0.26128308522229815,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6403257461651622,0.5026542800265428,0.415333,264,-0.03649635036496357,0.03649635036496346
