dataset,seed,method,accuracy,brier,ece,public_size,private_size,public_fraction,test_size,clients,noniid,noise_lambda,shots,rounds,bytes,inference_models,membership_auc,membership_null_auc,inference_ms,parameter_bytes,min_client_contribution,mean_client_contribution
cancer,0,best local,0.9416058394160584,0.03783690351553312,0.07267946348023818,68,364,0.12,137,3,iid,0.0,64,0,0,1,0.49370679831262687,0.5152113452340806,0.205041,104,-0.007299270072992692,0.0024330900243308973
cancer,0,unweighted ensemble,0.9416058394160584,0.03776370034454444,0.07147342196825847,68,364,0.12,137,3,iid,0.0,64,1,1632,3,0.49370679831262687,0.5152113452340806,0.416042,264,-0.007299270072992692,0.0024330900243308973
cancer,0,weighted ensemble,0.9343065693430657,0.0373795775095864,0.08690022757087076,68,364,0.12,137,3,iid,0.0,64,1,1632,3,0.49370679831262687,0.5152113452340806,0.411167,264,-0.007299270072992692,0.0024330900243308973
cancer,0,hard transfer,0.9343065693430657,0.039680485477730204,0.05827833303152328,68,364,0.12,137,3,iid,0.0,64,1,1632,1,0.49370679831262687,0.5152113452340806,0.004708,56,-0.007299270072992692,0.0024330900243308973
cancer,0,FedDF,0.9416058394160584,0.04360094157603333,0.1109118681236105,68,364,0.12,137,3,iid,0.0,64,1,1632,1,0.49370679831262687,0.5152113452340806,0.004458,56,-0.007299270072992692,0.0024330900243308973
cancer,0,FedMD-1r,0.9416058394160584,0.04082348017063628,0.0812610330134622,68,364,0.12,137,3,iid,0.0,64,1,1632,3,0.49370679831262687,0.5152113452340806,0.413625,264,-0.007299270072992692,0.0024330900243308973
cancer,0,FedMD-2r,0.9416058394160584,0.04190373956337311,0.08646783854064519,68,364,0.12,137,3,iid,0.0,64,2,3264,3,0.49370679831262687,0.5152113452340806,0.405125,264,-0.007299270072992692,0.0024330900243308973
cancer,0,FedMD,0.9416058394160584,0.042377210378386564,0.08867425196655065,68,364,0.12,137,3,iid,0.0,64,3,4896,3,0.49370679831262687,0.5152113452340806,0.415416,264,-0.007299270072992692,0.0024330900243308973
cancer,0,centralized reference,0.927007299270073,0.038080374929008926,0.06394352573942999,68,364,0.12,137,3,iid,0.0,64,0,0,1,0.49370679831262687,0.5152113452340806,0.004583,56,-0.007299270072992692,0.0024330900243308973
cancer,1,best local,0.9708029197080292,0.03888759542831564,0.07708350471019874,68,364,0.12,137,3,iid,0.0,64,0,0,1,0.5217392522591213,0.46225512931703716,0.205166,104,-0.007299270072992692,0.0
cancer,1,unweighted ensemble,0.9635036496350365,0.03754696295922798,0.07034173326245013,68,364,0.12,137,3,iid,0.0,64,1,1632,3,0.5217392522591213,0.46225512931703716,0.417458,264,-0.007299270072992692,0.0
cancer,1,weighted ensemble,0.9635036496350365,0.03690303653453401,0.06985035697694296,68,364,0.12,137,3,iid,0.0,64,1,1632,3,0.5217392522591213,0.46225512931703716,0.422416,264,-0.007299270072992692,0.0
cancer,1,hard transfer,0.9416058394160584,0.044843655146139354,0.03750836864781776,68,364,0.12,137,3,iid,0.0,64,1,1632,1,0.5217392522591213,0.46225512931703716,0.004958,56,-0.007299270072992692,0.0
cancer,1,FedDF,0.9416058394160584,0.04598541819902739,0.07802032613425348,68,364,0.12,137,3,iid,0.0,64,1,1632,1,0.5217392522591213,0.46225512931703716,0.004625,56,-0.007299270072992692,0.0
cancer,1,FedMD-1r,0.9635036496350365,0.039634111091262754,0.08306990025953909,68,364,0.12,137,3,iid,0.0,64,1,1632,3,0.5217392522591213,0.46225512931703716,0.420334,264,-0.007299270072992692,0.0
cancer,1,FedMD-2r,0.9635036496350365,0.040850830645889936,0.0889896209558227,68,364,0.12,137,3,iid,0.0,64,2,3264,3,0.5217392522591213,0.46225512931703716,0.408,264,-0.007299270072992692,0.0
cancer,1,FedMD,0.9635036496350365,0.041345881224618485,0.09161736589363847,68,364,0.12,137,3,iid,0.0,64,3,4896,3,0.5217392522591213,0.46225512931703716,0.420209,264,-0.007299270072992692,0.0
cancer,1,centralized reference,0.9416058394160584,0.04505385200169449,0.042961598279801845,68,364,0.12,137,3,iid,0.0,64,0,0,1,0.5217392522591213,0.46225512931703716,0.004792,56,-0.007299270072992692,0.0
cancer,2,best local,0.9635036496350365,0.03310845499065211,0.07580251879083852,68,364,0.12,137,3,iid,0.0,64,0,0,1,0.5453085139031596,0.4752969335681705,0.200208,104,0.0,0.009732360097323626
cancer,2,unweighted ensemble,0.9708029197080292,0.03475598057774631,0.0706536997511823,68,364,0.12,137,3,iid,0.0,64,1,1632,3,0.5453085139031596,0.4752969335681705,0.4115,264,0.0,0.009732360097323626
cancer,2,weighted ensemble,0.9635036496350365,0.033523287405407026,0.0799469051619232,68,364,0.12,137,3,iid,0.0,64,1,1632,3,0.5453085139031596,0.4752969335681705,0.4185,264,0.0,0.009732360097323626
cancer,2,hard transfer,0.9343065693430657,0.044541339231565585,0.03254341441319744,68,364,0.12,137,3,iid,0.0,64,1,1632,1,0.5453085139031596,0.4752969335681705,0.004667,56,0.0,0.009732360097323626
cancer,2,FedDF,0.948905109489051,0.049065543598848765,0.0784835275479458,68,364,0.12,137,3,iid,0.0,64,1,1632,1,0.5453085139031596,0.4752969335681705,0.004542,56,0.0,0.009732360097323626
cancer,2,FedMD-1r,0.9635036496350365,0.03881818298617827,0.08334364923401745,68,364,0.12,137,3,iid,0.0,64,1,1632,3,0.5453085139031596,0.4752969335681705,0.398041,264,0.0,0.009732360097323626
cancer,2,FedMD-2r,0.9635036496350365,0.0405868556170741,0.09046337924739647,68,364,0.12,137,3,iid,0.0,64,2,3264,3,0.5453085139031596,0.4752969335681705,0.404208,264,0.0,0.009732360097323626
cancer,2,FedMD,0.9635036496350365,0.04142696010366394,0.09356467211647913,68,364,0.12,137,3,iid,0.0,64,3,4896,3,0.5453085139031596,0.4752969335681705,0.406084,264,0.0,0.009732360097323626
cancer,2,centralized reference,0.9635036496350365,0.03768974837058662,0.0686385437841336,68,364,0.12,137,3,iid,0.0,64,0,0,1,0.5453085139031596,0.4752969335681705,0.004542,56,0.0,0.009732360097323626
cancer,3,best local,0.927007299270073,0.05395245090706204,0.07408970387961789,68,364,0.12,137,3,iid,0.0,64,0,0,1,0.5157720668343228,0.4854659049291747,0.00475,56,-0.014598540145985384,0.007299270072992692
cancer,3,unweighted ensemble,0.9197080291970803,0.06107222354577897,0.11018071680514777,68,364,0.12,137,3,iid,0.0,64,1,1632,3,0.5157720668343228,0.4854659049291747,0.41825,264,-0.014598540145985384,0.007299270072992692
cancer,3,weighted ensemble,0.927007299270073,0.06029567905015903,0.10804970158127757,68,364,0.12,137,3,iid,0.0,64,1,1632,3,0.5157720668343228,0.4854659049291747,0.417209,264,-0.014598540145985384,0.007299270072992692
cancer,3,hard transfer,0.8759124087591241,0.09650348355476981,0.12551534959586397,68,364,0.12,137,3,iid,0.0,64,1,1632,1,0.5157720668343228,0.4854659049291747,0.004375,56,-0.014598540145985384,0.007299270072992692
cancer,3,FedDF,0.9343065693430657,0.07071189194154189,0.12089496988819823,68,364,0.12,137,3,iid,0.0,64,1,1632,1,0.5157720668343228,0.4854659049291747,0.004375,56,-0.014598540145985384,0.007299270072992692
cancer,3,FedMD-1r,0.9124087591240876,0.0688765279725787,0.1167460332742995,68,364,0.12,137,3,iid,0.0,64,1,1632,3,0.5157720668343228,0.4854659049291747,0.396834,264,-0.014598540145985384,0.007299270072992692
cancer,3,FedMD-2r,0.9124087591240876,0.07145767810574156,0.12450611794908271,68,364,0.12,137,3,iid,0.0,64,2,3264,3,0.5157720668343228,0.4854659049291747,0.406833,264,-0.014598540145985384,0.007299270072992692
cancer,3,FedMD,0.9124087591240876,0.07244251789091137,0.124741414698596,68,364,0.12,137,3,iid,0.0,64,3,4896,3,0.5157720668343228,0.4854659049291747,0.405875,264,-0.014598540145985384,0.007299270072992692
cancer,3,centralized reference,0.9197080291970803,0.04875531524991248,0.07033123634229183,68,364,0.12,137,3,iid,0.0,64,0,0,1,0.5157720668343228,0.4854659049291747,0.004292,56,-0.014598540145985384,0.007299270072992692
cancer,0,best local,0.9562043795620438,0.040467704203926036,0.06339295508390003,137,295,0.24,137,3,iid,0.0,64,0,0,1,0.4924510761319938,0.5049980915465796,0.201125,104,-0.007299270072992692,0.0
cancer,0,unweighted ensemble,0.9416058394160584,0.03802435704559504,0.07170608202467557,137,295,0.24,137,3,iid,0.0,64,1,3288,3,0.4924510761319938,0.5049980915465796,0.412542,264,-0.007299270072992692,0.0
cancer,0,weighted ensemble,0.9416058394160584,0.038323995926436136,0.06940025013490586,137,295,0.24,137,3,iid,0.0,64,1,3288,3,0.4924510761319938,0.5049980915465796,0.406541,264,-0.007299270072992692,0.0
cancer,0,hard transfer,0.9416058394160584,0.03705129420377611,0.06173280568976672,137,295,0.24,137,3,iid,0.0,64,1,3288,1,0.4924510761319938,0.5049980915465796,0.0045,56,-0.007299270072992692,0.0
cancer,0,FedDF,0.9343065693430657,0.043794214902246734,0.09625120656522755,137,295,0.24,137,3,iid,0.0,64,1,3288,1,0.4924510761319938,0.5049980915465796,0.004417,56,-0.007299270072992692,0.0
cancer,0,FedMD-1r,0.948905109489051,0.04097629948225041,0.08449371377550366,137,295,0.24,137,3,iid,0.0,64,1,3288,3,0.4924510761319938,0.5049980915465796,0.412708,264,-0.007299270072992692,0.0
cancer,0,FedMD-2r,0.948905109489051,0.04248979877725717,0.09680390649328666,137,295,0.24,137,3,iid,0.0,64,2,6576,3,0.4924510761319938,0.5049980915465796,0.398666,264,-0.007299270072992692,0.0
cancer,0,FedMD,0.9416058394160584,0.04322333426216357,0.09333164863328165,137,295,0.24,137,3,iid,0.0,64,3,9864,3,0.4924510761319938,0.5049980915465796,0.406375,264,-0.007299270072992692,0.0
cancer,0,centralized reference,0.927007299270073,0.03756483672071832,0.07259169301027905,137,295,0.24,137,3,iid,0.0,64,0,0,1,0.4924510761319938,0.5049980915465796,0.0045,56,-0.007299270072992692,0.0
cancer,1,best local,0.9343065693430657,0.053198461379028034,0.04442337577335179,137,295,0.24,137,3,iid,0.0,64,0,0,1,0.5231692765582233,0.5120275198481664,0.004292,56,0.0,0.02189781021897815
cancer,1,unweighted ensemble,0.9562043795620438,0.04870301452669484,0.08158472262082239,137,295,0.24,137,3,iid,0.0,64,1,3288,3,0.5231692765582233,0.5120275198481664,0.404042,264,0.0,0.02189781021897815
cancer,1,weighted ensemble,0.9562043795620438,0.04756032444961254,0.07558014661904608,137,295,0.24,137,3,iid,0.0,64,1,3288,3,0.5231692765582233,0.5120275198481664,0.407417,264,0.0,0.02189781021897815
cancer,1,hard transfer,0.9343065693430657,0.049664791414050224,0.023824292933653107,137,295,0.24,137,3,iid,0.0,64,1,3288,1,0.5231692765582233,0.5120275198481664,0.004583,56,0.0,0.02189781021897815
cancer,1,FedDF,0.927007299270073,0.059849539427950495,0.09404916016733675,137,295,0.24,137,3,iid,0.0,64,1,3288,1,0.5231692765582233,0.5120275198481664,0.004375,56,0.0,0.02189781021897815
cancer,1,FedMD-1r,0.9343065693430657,0.05202760680771227,0.1016309104324868,137,295,0.24,137,3,iid,0.0,64,1,3288,3,0.5231692765582233,0.5120275198481664,0.401125,264,0.0,0.02189781021897815
cancer,1,FedMD-2r,0.9343065693430657,0.05324493944671305,0.10782303901131103,137,295,0.24,137,3,iid,0.0,64,2,6576,3,0.5231692765582233,0.5120275198481664,0.413042,264,0.0,0.02189781021897815
cancer,1,FedMD,0.9343065693430657,0.05377888244596755,0.11043960891038809,137,295,0.24,137,3,iid,0.0,64,3,9864,3,0.5231692765582233,0.5120275198481664,0.413334,264,0.0,0.02189781021897815
cancer,1,centralized reference,0.9416058394160584,0.04584162726624034,0.04647109093483158,137,295,0.24,137,3,iid,0.0,64,0,0,1,0.5231692765582233,0.5120275198481664,0.004792,56,0.0,0.02189781021897815
cancer,2,best local,0.9635036496350365,0.038645165942450155,0.06493280566204405,137,295,0.24,137,3,iid,0.0,64,0,0,1,0.5264826125097241,0.49626334350004836,0.004375,56,0.0,0.0
cancer,2,unweighted ensemble,0.9635036496350365,0.038188282572067404,0.07056864012544153,137,295,0.24,137,3,iid,0.0,64,1,3288,3,0.5264826125097241,0.49626334350004836,0.414625,264,0.0,0.0
