n,seed,event,changed,scope,scope_fraction,runtime_ms,edges
1000,0,0,4,22,0.022,0.004875,2990
1000,0,1,4,24,0.024,0.0025,2990
1000,0,2,4,27,0.027,0.002041,2990
1000,0,3,4,25,0.025,0.001916,2990
1000,0,4,4,25,0.025,0.001834,2990
1000,0,5,4,27,0.027,0.001709,2990
1000,0,6,4,32,0.032,0.001625,2990
1000,0,7,4,28,0.028,0.001584,2990
1000,0,8,4,27,0.027,0.00175,2990
1000,0,9,4,23,0.023,0.001792,2990
1000,1,0,4,29,0.029,0.002167,2986
1000,1,1,4,29,0.029,0.002125,2986
1000,1,2,4,27,0.027,0.001875,2986
1000,1,3,4,27,0.027,0.001875,2986
1000,1,4,4,32,0.032,0.001791,2986
1000,1,5,4,33,0.033,0.001833,2986
1000,1,6,4,26,0.026,0.001708,2986
1000,1,7,4,30,0.03,0.001708,2986
1000,1,8,4,27,0.027,0.001708,2986
1000,1,9,4,35,0.035,0.00175,2986
1000,2,0,4,25,0.025,0.002083,2992
1000,2,1,4,26,0.026,0.001791,2992
1000,2,2,4,26,0.026,0.001833,2992
1000,2,3,4,29,0.029,0.001667,2992
1000,2,4,4,23,0.023,0.001792,2992
1000,2,5,4,30,0.03,0.00175,2992
1000,2,6,4,27,0.027,0.001667,2992
1000,2,7,4,28,0.028,0.001709,2992
1000,2,8,4,30,0.03,0.001542,2992
1000,2,9,4,25,0.025,0.001542,2992
1000,3,0,4,31,0.031,0.002,2993
1000,3,1,4,28,0.028,0.001792,2993
1000,3,2,4,26,0.026,0.001708,2993
1000,3,3,4,29,0.029,0.001666,2993
1000,3,4,4,25,0.025,0.001708,2993
1000,3,5,4,31,0.031,0.001667,2993
1000,3,6,4,30,0.03,0.001708,2993
1000,3,7,4,28,0.028,0.001625,2993
1000,3,8,4,27,0.027,0.001625,2993
1000,3,9,4,25,0.025,0.00175,2993
1000,4,0,4,26,0.026,0.002,2989
1000,4,1,4,28,0.028,0.001916,2989
1000,4,2,4,24,0.024,0.00175,2989
1000,4,3,4,23,0.023,0.001708,2989
1000,4,4,4,26,0.026,0.001417,2989
1000,4,5,4,29,0.029,0.001667,2989
1000,4,6,4,27,0.027,0.001709,2989
1000,4,7,4,29,0.029,0.001667,2989
1000,4,8,4,22,0.022,0.001584,2989
1000,4,9,4,25,0.025,0.001584,2989
1000,5,0,4,25,0.025,0.001875,2989
1000,5,1,4,23,0.023,0.00175,2989
1000,5,2,4,30,0.03,0.00175,2989
1000,5,3,4,33,0.033,0.001875,2989
1000,5,4,4,21,0.021,0.001542,2989
1000,5,5,4,25,0.025,0.001583,2989
1000,5,6,4,24,0.024,0.001583,2989
1000,5,7,4,29,0.029,0.001667,2989
1000,5,8,4,28,0.028,0.0015,2989
1000,5,9,4,30,0.03,0.001542,2989
1000,6,0,4,27,0.027,0.003125,2985
1000,6,1,4,28,0.028,0.002084,2985
1000,6,2,4,26,0.026,0.001791,2985
1000,6,3,4,35,0.035,0.00175,2985
1000,6,4,4,24,0.024,0.001666,2985
1000,6,5,4,26,0.026,0.001625,2985
1000,6,6,4,23,0.023,0.0015,2985
1000,6,7,4,26,0.026,0.001417,2985
1000,6,8,4,27,0.027,0.0015,2985
1000,6,9,4,26,0.026,0.0015,2985
1000,7,0,4,27,0.027,0.002166,2993
1000,7,1,4,28,0.028,0.001958,2993
1000,7,2,4,30,0.03,0.001791,2993
1000,7,3,4,27,0.027,0.001917,2993
1000,7,4,4,28,0.028,0.001625,2993
1000,7,5,4,25,0.025,0.001625,2993
1000,7,6,4,30,0.03,0.001708,2993
1000,7,7,4,29,0.029,0.001709,2993
