seed,n,patch,coupling,severity,scope,scope_size,solver,solution,cost,gap,evals,runtime_s,p_opt,depth,shots,amp_ops,boundary_ratio,noise_lambda,scope_recall
0,16,4,0.55,0.65,full,16,deployed,36584,3.8383016478535863,0.08203641699967773,0,0.0,,0,0,0,0.07382873749091666,0.0,1.0
0,16,4,0.55,0.65,full,16,exact enumeration,44132,3.471477643302857,0.0,65536,0.0,,0,0,68719476736,0.07382873749091666,0.0,1.0
0,16,4,0.55,0.65,full,16,MILP,44132,3.471477643302857,0.0,0,0.01407791709061712,,0,0,0,0.07382873749091666,0.0,1.0
0,16,4,0.55,0.65,full,16,annealing,44132,3.471477643302857,0.0,89,9.308394510298967e-05,,0,0,93323264,0.07382873749091666,0.0,1.0
0,16,4,0.55,0.65,full,16,QAOA,11620,4.185735130124431,0.15973634306130363,89,0.2302067920099944,0.0009660803085249735,1,256,93323264,0.07382873749091666,0.0,1.0
0,16,4,0.55,0.65,true,4,exact LNS,36584,3.8383016478535863,0.08203641699967773,16,2.0420411601662636e-06,,0,0,1024,0.07382873749091666,0.0,1.0
0,16,4,0.55,0.65,true,4,annealing,36584,3.8383016478535863,0.08203641699967773,89,8.283299393951893e-05,,0,0,5696,0.07382873749091666,0.0,1.0
0,16,4,0.55,0.65,true,4,QAOA,36584,3.8383016478535863,0.08203641699967773,89,0.0016341248992830515,0.2307816041250657,1,256,5696,0.07382873749091666,0.0,1.0
0,16,4,0.55,0.65,inferred,4,exact LNS,36584,3.8383016478535863,0.08203641699967773,16,1.250067725777626e-06,,0,0,1024,0.07382873749091666,0.0,0.75
0,16,4,0.55,0.65,inferred,4,annealing,36584,3.8383016478535863,0.08203641699967773,89,7.399998139590025e-05,,0,0,5696,0.07382873749091666,0.0,0.75
0,16,4,0.55,0.65,inferred,4,QAOA,36584,3.8383016478535863,0.08203641699967773,89,0.001587292063049972,0.3074272726424811,1,256,5696,0.07382873749091666,0.0,0.75
