controller,fault,windows,unsafe,unauthorized,underallocation,bad_venue,fallback
authenticated,corruption,957,4,0,4,0,1.0
authenticated,infeasible-proposal,955,947,0,947,0,0.0
authenticated,link-outage,965,11,0,11,0,0.0
authenticated,none,961,9,0,9,0,0.0
authenticated,planner-bypass,958,958,958,10,0,0.0
authenticated,replay,959,7,0,7,0,0.9947862356621481
authenticated,signed-bias,958,13,0,13,204,0.0
authenticated,stale-calibration,967,1,0,1,0,1.0
authenticated,stale-record,960,3,0,3,0,1.0
guarded,corruption,957,4,0,4,0,1.0
guarded,infeasible-proposal,955,0,0,0,0,1.0
guarded,link-outage,965,11,0,11,0,0.0
guarded,none,961,9,0,9,0,0.0
guarded,planner-bypass,958,0,0,0,0,1.0
guarded,replay,959,7,0,7,0,0.9927007299270073
guarded,signed-bias,958,4,0,4,2,0.9979123173277662
guarded,stale-calibration,967,1,0,1,0,1.0
guarded,stale-record,960,3,0,3,0,1.0
guarded-stable,corruption,957,4,0,4,0,1.0
guarded-stable,infeasible-proposal,955,0,0,0,0,1.0
guarded-stable,link-outage,965,11,0,11,0,0.0
guarded-stable,none,961,9,0,9,0,0.0
guarded-stable,planner-bypass,958,0,0,0,0,1.0
guarded-stable,replay,959,7,0,7,0,0.9927007299270073
guarded-stable,signed-bias,958,4,0,4,2,0.9979123173277662
guarded-stable,stale-calibration,967,1,0,1,0,1.0
guarded-stable,stale-record,960,3,0,3,0,1.0
typed,corruption,957,7,0,7,0,0.0
typed,infeasible-proposal,955,947,0,947,0,0.0
typed,link-outage,965,11,0,11,0,0.0
typed,none,961,9,0,9,0,0.0
typed,planner-bypass,958,958,958,10,0,0.0
typed,replay,959,14,0,14,0,0.0
typed,signed-bias,958,13,0,13,204,0.0
typed,stale-calibration,967,8,0,8,0,0.0
typed,stale-record,960,5,0,5,0,0.0
unguarded,corruption,957,7,0,7,0,0.0
unguarded,infeasible-proposal,955,947,0,947,0,0.0
unguarded,link-outage,965,11,0,11,0,0.0
unguarded,none,961,9,0,9,0,0.0
unguarded,planner-bypass,958,958,958,10,0,0.0
unguarded,replay,959,14,0,14,0,0.0
unguarded,signed-bias,958,13,0,13,204,0.0
unguarded,stale-calibration,967,8,0,8,0,0.0
unguarded,stale-record,960,5,0,5,0,0.0
verified,corruption,957,4,0,4,0,1.0
verified,infeasible-proposal,955,0,0,0,0,1.0
verified,link-outage,965,11,0,11,0,0.0
verified,none,961,9,0,9,0,0.0
verified,planner-bypass,958,0,0,0,0,1.0
verified,replay,959,7,0,7,0,0.9947862356621481
verified,signed-bias,958,13,0,13,204,0.0
verified,stale-calibration,967,1,0,1,0,1.0
verified,stale-record,960,3,0,3,0,1.0
