week,window,replay_id,controller,fault,action,telemetry_valid,telemetry_reason,proposal_valid,proposal_reason,fallback,unsafe_commit,sla_violation,unauthorized_commit,underallocation_commit,bad_venue,recovery_s,switch,traffic_evidence,telemetry_evidence,telemetry_delay,hysteresis,min_hold,telemetry_check_us,proposal_check_us,verification_us,audit_prev_hash,audit_hash
X01,0,0,unguarded,none,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.125,0.083,0.20800000000000002,0000000000000000000000000000000000000000000000000000000000000000,c579df6976fc1f6044264bcf048bf9debf7dbd4f1f74e23667fa615559af0859
X01,1,0,unguarded,stale-record,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.125,0.084,0.20900000000000002,c579df6976fc1f6044264bcf048bf9debf7dbd4f1f74e23667fa615559af0859,9815cabbc10fb86cc55ddbe8bfafbd152ec3abe6fa304a4a67875ee0c67b8664
X01,2,0,unguarded,replay,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.083,0.084,0.167,9815cabbc10fb86cc55ddbe8bfafbd152ec3abe6fa304a4a67875ee0c67b8664,ebd12e8f582d151802a156d8441f5c237c652ea48a1e29fb2b17d3a4a3df3380
X01,3,0,unguarded,corruption,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.042,0.167,0.20900000000000002,ebd12e8f582d151802a156d8441f5c237c652ea48a1e29fb2b17d3a4a3df3380,be095e9b0e71b2ee34ed7ee2878161c6e7093d605993bd7662f9e8bee92e195f
X01,4,0,unguarded,infeasible-proposal,remote,True,unchecked,True,unchecked,0,1,1,0,1,0,300,0,measured,modeled,0,0.08,2,0.042,0.167,0.20900000000000002,be095e9b0e71b2ee34ed7ee2878161c6e7093d605993bd7662f9e8bee92e195f,a47da844401e8db119b9221fb6464a2347c7f2bc5b984f6b88e8b4e95b84481c
X01,5,0,unguarded,planner-bypass,remote,True,unchecked,True,unchecked,0,1,1,1,0,0,300,0,measured,modeled,0,0.08,2,0.042,0.167,0.20900000000000002,a47da844401e8db119b9221fb6464a2347c7f2bc5b984f6b88e8b4e95b84481c,bab99c68472180531f871a2f716de43365f858a62882bb0fbc876cdb1a89747c
X01,6,0,unguarded,stale-calibration,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.042,0.042,0.084,bab99c68472180531f871a2f716de43365f858a62882bb0fbc876cdb1a89747c,9361893abc0d62ae1984fa56e77f6231de50ff93d122a5bffac817f65df88e3e
X01,7,0,unguarded,link-outage,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.042,0.125,0.167,9361893abc0d62ae1984fa56e77f6231de50ff93d122a5bffac817f65df88e3e,db20068a5fa5de5b3494934fdeab08d025bd6664e2c07203268cb2434b3815f6
X01,8,0,unguarded,none,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.0,0.125,0.125,db20068a5fa5de5b3494934fdeab08d025bd6664e2c07203268cb2434b3815f6,cfa88328be978a68cbc683d2c6bcb09538e69004eaeb84afcad7ff5179cdb363
X01,9,0,unguarded,stale-record,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.041,0.041,0.082,cfa88328be978a68cbc683d2c6bcb09538e69004eaeb84afcad7ff5179cdb363,f4e9190fe494a9ba7ce3b8d58db78139f572fdc43adce77a46aed3f6a7bcc0b3
X01,10,0,unguarded,replay,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.083,0.084,0.167,f4e9190fe494a9ba7ce3b8d58db78139f572fdc43adce77a46aed3f6a7bcc0b3,1de5fa816f3f007965f54f7232abe670c77f0f130b046d528a093e205c6ae455
X01,11,0,unguarded,corruption,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.0,0.083,0.083,1de5fa816f3f007965f54f7232abe670c77f0f130b046d528a093e205c6ae455,7eef6d03d639abdbe11abd1667e33c40157945fa5d502e014b92c6c69a2bb7bd
X01,12,0,unguarded,infeasible-proposal,remote,True,unchecked,True,unchecked,0,1,1,0,1,0,300,0,measured,modeled,0,0.08,2,0.042,0.125,0.167,7eef6d03d639abdbe11abd1667e33c40157945fa5d502e014b92c6c69a2bb7bd,d9fce796fc71e2648bfdd183630cd13f61c37cf30674eb2b0dbd01d3999e88fa
X01,13,0,unguarded,planner-bypass,remote,True,unchecked,True,unchecked,0,1,1,1,0,0,300,0,measured,modeled,0,0.08,2,0.041,0.083,0.124,d9fce796fc71e2648bfdd183630cd13f61c37cf30674eb2b0dbd01d3999e88fa,e6856696de7e2dabff59271ec0923c38de25727d472c9d37d627e0c2e8b524a0
X01,14,0,unguarded,stale-calibration,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.084,0.084,0.168,e6856696de7e2dabff59271ec0923c38de25727d472c9d37d627e0c2e8b524a0,2a2049728bdc988334872d7cf6c93762e2d05c5ed1fab4203c5b317a6dd85523
X01,15,0,unguarded,link-outage,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.042,0.125,0.167,2a2049728bdc988334872d7cf6c93762e2d05c5ed1fab4203c5b317a6dd85523,05a2eb9601583f941b053f650918202319748e3c80be9b07905411d32dc91287
X01,16,0,unguarded,none,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.0,0.083,0.083,05a2eb9601583f941b053f650918202319748e3c80be9b07905411d32dc91287,b13cc96b1da534d8ca092c8d61d0b0b1ea02017cf262ef27bdfa35226b04f778
X01,17,0,unguarded,stale-record,remote,True,unchecked,True,unchecked,0,1,1,0,1,0,300,0,measured,modeled,0,0.08,2,0.083,0.125,0.20800000000000002,b13cc96b1da534d8ca092c8d61d0b0b1ea02017cf262ef27bdfa35226b04f778,2720766488c10485189b285acfbf9390c582fbfcb09cd63f94372dc99272e263
X01,18,0,unguarded,replay,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.083,0.083,0.166,2720766488c10485189b285acfbf9390c582fbfcb09cd63f94372dc99272e263,054b30f768ae423448ef75812699b2cd4db4142dab460506777b9e0d69ce7b58
X01,19,0,unguarded,corruption,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.0,0.125,0.125,054b30f768ae423448ef75812699b2cd4db4142dab460506777b9e0d69ce7b58,bda839751eabbf4bc5962f8d7eedfc0c4f76de3e86bb672be65f8518aae5fc24
X01,20,0,unguarded,infeasible-proposal,local,True,unchecked,True,unchecked,0,1,1,0,1,0,300,1,measured,modeled,0,0.08,2,0.042,0.125,0.167,bda839751eabbf4bc5962f8d7eedfc0c4f76de3e86bb672be65f8518aae5fc24,da00c9d7e2ba51aedd605cda94af3d9c9c2e2d74cceb24142c884181cbb8f980
X01,21,0,unguarded,planner-bypass,remote,True,unchecked,True,unchecked,0,1,1,1,0,0,300,1,measured,modeled,0,0.08,2,0.0,0.083,0.083,da00c9d7e2ba51aedd605cda94af3d9c9c2e2d74cceb24142c884181cbb8f980,7fb99d5e7603a07316a94245ca39b5cae3cfc160cce12b8086ff9121294a0c1f
X01,22,0,unguarded,stale-calibration,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.042,0.083,0.125,7fb99d5e7603a07316a94245ca39b5cae3cfc160cce12b8086ff9121294a0c1f,391dfcda681c380a67fe9d544fecbdec708971f1dd7ee1219d8026e8c55b11fa
X01,23,0,unguarded,link-outage,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.083,0.083,0.166,391dfcda681c380a67fe9d544fecbdec708971f1dd7ee1219d8026e8c55b11fa,4806cbcc7793a74f888245a042ec864197fcd56dbca8b51d35df80b43e316c74
X01,24,0,unguarded,none,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.083,0.084,0.167,4806cbcc7793a74f888245a042ec864197fcd56dbca8b51d35df80b43e316c74,e763908c2ae3df14cc210711d62c344f46b47a2790cdb99135f83e0221052514
X01,25,0,unguarded,stale-record,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.0,0.084,0.084,e763908c2ae3df14cc210711d62c344f46b47a2790cdb99135f83e0221052514,410231a6a993dbd34c03c24472334ee970902747ad073569ddfd10c1509a44b0
X01,26,0,unguarded,replay,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.083,0.125,0.20800000000000002,410231a6a993dbd34c03c24472334ee970902747ad073569ddfd10c1509a44b0,e98f1b53165548bd5446782dfd185390a9ba7f43650b566de8293aac1cc5324c
X01,27,0,unguarded,corruption,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.041,0.084,0.125,e98f1b53165548bd5446782dfd185390a9ba7f43650b566de8293aac1cc5324c,c33b1612db2b25e14370d121887aa4ef3a1e98bfd433c9f6521d622395f62a93
X01,28,0,unguarded,infeasible-proposal,remote,True,unchecked,True,unchecked,0,1,1,0,1,0,300,0,measured,modeled,0,0.08,2,0.083,0.084,0.167,c33b1612db2b25e14370d121887aa4ef3a1e98bfd433c9f6521d622395f62a93,e889d7faf6bf242a598f46d6ae5e800fc81ce9b3ced1d92f5ff2ea7f926b38a3
X01,29,0,unguarded,planner-bypass,remote,True,unchecked,True,unchecked,0,1,1,1,0,0,300,0,measured,modeled,0,0.08,2,0.0,0.125,0.125,e889d7faf6bf242a598f46d6ae5e800fc81ce9b3ced1d92f5ff2ea7f926b38a3,dd286881cc920b92d2955e8aa95bcf3142953ac5ac4eb70879f580028d4dea2b
X01,30,0,unguarded,stale-calibration,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.042,0.084,0.126,dd286881cc920b92d2955e8aa95bcf3142953ac5ac4eb70879f580028d4dea2b,bc9d350343c492e67bd7383d651345ad2c0474bb8db692ad9ce7b5d1735de0c6
X01,31,0,unguarded,link-outage,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.083,0.125,0.20800000000000002,bc9d350343c492e67bd7383d651345ad2c0474bb8db692ad9ce7b5d1735de0c6,d581237c68dd8da8c72bbd5ca65c38415b9c2e7e71e63b02d2a017496c599f48
X01,32,0,unguarded,none,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.083,0.125,0.20800000000000002,d581237c68dd8da8c72bbd5ca65c38415b9c2e7e71e63b02d2a017496c599f48,a566c2ee9cd15f78f7d907df0b238655b709a974c381ce0e4d938c78a8cdded7
X01,33,0,unguarded,stale-record,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.042,0.083,0.125,a566c2ee9cd15f78f7d907df0b238655b709a974c381ce0e4d938c78a8cdded7,b6b10bf923c943c668b34b287b66a01850184428cfa5543ba1f467054ae8643d
X01,34,0,unguarded,replay,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.0,0.083,0.083,b6b10bf923c943c668b34b287b66a01850184428cfa5543ba1f467054ae8643d,2312405dea3b5fbf10689aed5a4f47f28d419b7d34c0aca6b14a6e4def62fa00
X01,35,0,unguarded,corruption,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.042,0.083,0.125,2312405dea3b5fbf10689aed5a4f47f28d419b7d34c0aca6b14a6e4def62fa00,76c7622dc333dd458cdebc7b830233fed4deca14ef06ae8f33a4b1f9d2a0999d
X01,36,0,unguarded,infeasible-proposal,remote,True,unchecked,True,unchecked,0,1,1,0,1,0,300,0,measured,modeled,0,0.08,2,0.041,0.083,0.124,76c7622dc333dd458cdebc7b830233fed4deca14ef06ae8f33a4b1f9d2a0999d,13b6f16c30f572a3a7f9650b2e69dc89f8a10efa4b8bca2f3645e09d8754005d
X01,37,0,unguarded,planner-bypass,remote,True,unchecked,True,unchecked,0,1,1,1,0,0,300,0,measured,modeled,0,0.08,2,0.042,0.125,0.167,13b6f16c30f572a3a7f9650b2e69dc89f8a10efa4b8bca2f3645e09d8754005d,c81d78d09c030ad2a3dfa50c342661d7e99cb96c6a2e590710744027f126f028
X01,38,0,unguarded,stale-calibration,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.042,0.125,0.167,c81d78d09c030ad2a3dfa50c342661d7e99cb96c6a2e590710744027f126f028,efd791e207e9cfbfbfee3bb05d7ca8d28868b511bd002ec58abb4f3cec2fb9b4
X01,39,0,unguarded,link-outage,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.125,0.125,0.25,efd791e207e9cfbfbfee3bb05d7ca8d28868b511bd002ec58abb4f3cec2fb9b4,e1b25dc2141d26d1ce3e34059e1559e131121bf1cb5d728d51a994370eb213d7
X01,40,0,unguarded,none,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.083,0.084,0.167,e1b25dc2141d26d1ce3e34059e1559e131121bf1cb5d728d51a994370eb213d7,d5cd54e072c0efa8bd8c57dad859490f40eb2073887b9af950300897e37b27f4
X01,41,0,unguarded,stale-record,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.084,0.125,0.20900000000000002,d5cd54e072c0efa8bd8c57dad859490f40eb2073887b9af950300897e37b27f4,34394e320c0b3a052d4b4676a6a2c7d2e8b057c4e3da98d1a67ef77f42feeec7
X01,42,0,unguarded,replay,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.083,0.083,0.166,34394e320c0b3a052d4b4676a6a2c7d2e8b057c4e3da98d1a67ef77f42feeec7,d81b16b04b2725ce1a7ef95dca69de0fae5bd5ea52576ca9de832bac50d2a90f
X01,43,0,unguarded,corruption,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.042,0.084,0.126,d81b16b04b2725ce1a7ef95dca69de0fae5bd5ea52576ca9de832bac50d2a90f,0c8a70cd6b334da5a7bcad9b85ab96956d5a6e4a73fe2ed9b955b80281ce9a68
X01,44,0,unguarded,infeasible-proposal,remote,True,unchecked,True,unchecked,0,1,1,0,1,0,300,0,measured,modeled,0,0.08,2,0.042,0.083,0.125,0c8a70cd6b334da5a7bcad9b85ab96956d5a6e4a73fe2ed9b955b80281ce9a68,c2d2398b3ca74a33022b74abdb1d8c6ae4fc6c880d18488f222f9fbe4ad248a7
X01,45,0,unguarded,planner-bypass,local,True,unchecked,True,unchecked,0,1,1,1,0,0,300,1,measured,modeled,0,0.08,2,0.042,0.125,0.167,c2d2398b3ca74a33022b74abdb1d8c6ae4fc6c880d18488f222f9fbe4ad248a7,3e52b6c01746d8391d91e9ede7b225b4239f5c12ef32df0e4feb4e9d075f6294
X01,46,0,unguarded,stale-calibration,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.042,0.125,0.167,3e52b6c01746d8391d91e9ede7b225b4239f5c12ef32df0e4feb4e9d075f6294,e3b6f140616cface0c97cb5468c3b2e60aa7d42b40b9c3a9f9c4bd212aeeead8
X01,47,0,unguarded,link-outage,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.042,0.083,0.125,e3b6f140616cface0c97cb5468c3b2e60aa7d42b40b9c3a9f9c4bd212aeeead8,7229df501cab5ac5085e91884bd0f76b12ea47bfed5bd64c61cbc161fd20105d
X01,48,0,unguarded,none,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.083,0.125,0.20800000000000002,7229df501cab5ac5085e91884bd0f76b12ea47bfed5bd64c61cbc161fd20105d,75319b809160fb3d181143671cd550b91e6f0a3685e65e521607ce15e3df8266
X01,49,0,unguarded,stale-record,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.0,0.125,0.125,75319b809160fb3d181143671cd550b91e6f0a3685e65e521607ce15e3df8266,e8b756edc0c2827e7961beeb602f0a001cf0526a95bdf11630ed20b9d3d6e7d3
X01,50,0,unguarded,replay,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.084,0.125,0.20900000000000002,e8b756edc0c2827e7961beeb602f0a001cf0526a95bdf11630ed20b9d3d6e7d3,fde01b283babdaec2e66c06e41f7555d90a646f1bae2061099032afa87278d53
X01,51,0,unguarded,corruption,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.0,0.083,0.083,fde01b283babdaec2e66c06e41f7555d90a646f1bae2061099032afa87278d53,7f664a3009bdd96536bfd0fb15b68530c36b0d4f7aa49b5125a2fe8d1f730a42
X01,52,0,unguarded,infeasible-proposal,remote,True,unchecked,True,unchecked,0,1,1,0,1,0,300,0,measured,modeled,0,0.08,2,0.042,0.084,0.126,7f664a3009bdd96536bfd0fb15b68530c36b0d4f7aa49b5125a2fe8d1f730a42,4315856d8de2ad02c1a31dce4e1dda748abe2f97549acdb881223a21a11c4bde
X01,53,0,unguarded,planner-bypass,remote,True,unchecked,True,unchecked,0,1,1,1,0,0,300,0,measured,modeled,0,0.08,2,0.083,0.084,0.167,4315856d8de2ad02c1a31dce4e1dda748abe2f97549acdb881223a21a11c4bde,48d10d46c5f4e1defa52b5ade623bcdc7d38d9d56cd0675f99686007cd30e572
X01,54,0,unguarded,stale-calibration,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.0,0.125,0.125,48d10d46c5f4e1defa52b5ade623bcdc7d38d9d56cd0675f99686007cd30e572,05f8823521607a518fdb13ef65a2b4835b2c93fb35e760bdc2b1b3a7449880aa
X01,55,0,unguarded,link-outage,local,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.083,0.125,0.20800000000000002,05f8823521607a518fdb13ef65a2b4835b2c93fb35e760bdc2b1b3a7449880aa,710ed1e2f8b5329394e68cc08cdf324eec9961722638c20c77d6ad4f9e11fd88
