week,window,replay_id,controller,fault,action,telemetry_valid,telemetry_reason,proposal_valid,proposal_reason,fallback,unsafe_commit,sla_violation,unauthorized_commit,underallocation_commit,bad_venue,recovery_s,switch,traffic_evidence,telemetry_evidence,telemetry_delay,hysteresis,min_hold,telemetry_check_us,proposal_check_us,verification_us,audit_prev_hash,audit_hash
X01,0,1,unguarded,replay,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,1,measured,modeled,0,0.08,2,0.042,0.166,0.20800000000000002,0000000000000000000000000000000000000000000000000000000000000000,c512b6c525143ceb94259bce9daf54c2b0b7b22fd4165fd61739af0c71ee8518
X01,1,1,unguarded,stale-record,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.125,0.167,0.29200000000000004,c512b6c525143ceb94259bce9daf54c2b0b7b22fd4165fd61739af0c71ee8518,0d3f0a771dccbf373261d293777328077ed8cea4c623e329b6f5604ae26ab4c3
X01,2,1,unguarded,replay,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.083,0.125,0.20800000000000002,0d3f0a771dccbf373261d293777328077ed8cea4c623e329b6f5604ae26ab4c3,77113aaca686c815b1f8d591262b71721b12e82f7714796d8d49d2c6fbe93f81
X01,3,1,unguarded,planner-bypass,remote,True,unchecked,True,unchecked,0,1,1,1,0,0,300,0,measured,modeled,0,0.08,2,0.125,0.125,0.25,77113aaca686c815b1f8d591262b71721b12e82f7714796d8d49d2c6fbe93f81,32d3b1d7b598c28b50ac62820ecde0c78f284830a25982be526e583ae94494d3
X01,4,1,unguarded,corruption,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.125,0.083,0.20800000000000002,32d3b1d7b598c28b50ac62820ecde0c78f284830a25982be526e583ae94494d3,c4fe62e43bfcb99f9d2ebef25682b2e6128974f99f3f93bc1d4716f3b2c600ec
X01,5,1,unguarded,stale-calibration,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.083,0.125,0.20800000000000002,c4fe62e43bfcb99f9d2ebef25682b2e6128974f99f3f93bc1d4716f3b2c600ec,75372ca666bde9854ebd153fc307d107620df76ea775e38f5692f935f64625a9
X01,6,1,unguarded,replay,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.125,0.084,0.20900000000000002,75372ca666bde9854ebd153fc307d107620df76ea775e38f5692f935f64625a9,f6c662810d45a86d6dc4d2afcd146cf0aa7302b1ec7ea724842e6dce2a5225b0
X01,7,1,unguarded,signed-bias,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.083,0.083,0.166,f6c662810d45a86d6dc4d2afcd146cf0aa7302b1ec7ea724842e6dce2a5225b0,6b59f51364d321808e002cbdc4ec4e209394fe06c55a14404d2965e905fa2465
X01,8,1,unguarded,infeasible-proposal,remote,True,unchecked,True,unchecked,0,1,1,0,1,0,300,0,measured,modeled,0,0.08,2,0.042,0.125,0.167,6b59f51364d321808e002cbdc4ec4e209394fe06c55a14404d2965e905fa2465,3826554d9827d4af356a31de6d96f1417c081122e7539511738c3486f0ce410c
X01,9,1,unguarded,planner-bypass,remote,True,unchecked,True,unchecked,0,1,1,1,0,0,300,0,measured,modeled,0,0.08,2,0.083,0.084,0.167,3826554d9827d4af356a31de6d96f1417c081122e7539511738c3486f0ce410c,0c642611679c7befe79fa4f6309251b670b1ee32d8b56112610aa811ba927d73
X01,10,1,unguarded,signed-bias,remote,True,unchecked,True,unchecked,0,0,0,0,0,0,0,0,measured,modeled,0,0.08,2,0.042,0.084,0.126,0c642611679c7befe79fa4f6309251b670b1ee32d8b56112610aa811ba927d73,b215aeee24a986a86110e0979710b260e9ef52050f880c7c52fcd647c2197d04
