week,window,replay_id,controller,fault,action,telemetry_valid,telemetry_reason,proposal_valid,proposal_reason,fallback,unsafe_commit,sla_violation,unauthorized_commit,underallocation_commit,bad_venue,recovery_s,switch,traffic_evidence,telemetry_evidence,telemetry_delay,hysteresis,min_hold,telemetry_check_us,proposal_check_us,verification_us,audit_prev_hash,audit_hash,configuration
X01,0,0,guarded-stable,none,local,True,accepted,True,accepted,0,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,158.333,5.042,163.375,0000000000000000000000000000000000000000000000000000000000000000,a5acb815ae910be6c3b76012ab326c75cfd097a22571ef37164f139a5a6426ea,d0-h0.0-r0
X01,1,0,guarded-stable,stale-record,fallback,False,expired,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,136.083,3.917,140.0,a5acb815ae910be6c3b76012ab326c75cfd097a22571ef37164f139a5a6426ea,f7d228bbedff4aeb7c18caaefab0845fbc40ad80a44fcaf58ef40365ee80a060,d0-h0.0-r0
X01,2,0,guarded-stable,replay,fallback,False,replay,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,173.417,4.75,178.167,f7d228bbedff4aeb7c18caaefab0845fbc40ad80a44fcaf58ef40365ee80a060,2b6264ff7ae8ef468da13a9364823e78a4709882ec96e438a699bd745e4c4b8b,d0-h0.0-r0
X01,3,0,guarded-stable,corruption,fallback,False,signature,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,126.708,3.709,130.417,2b6264ff7ae8ef468da13a9364823e78a4709882ec96e438a699bd745e4c4b8b,a7b2ffe14b4e07efdace368636c954aead440f42dd738bb3475b13d0d6919607,d0-h0.0-r0
X01,4,0,guarded-stable,infeasible-proposal,remote,True,accepted,False,capacity,1,0,0,0,0,0,0,1,measured,modeled,0,0.0,0,141.333,3.333,144.666,a7b2ffe14b4e07efdace368636c954aead440f42dd738bb3475b13d0d6919607,7bfffee5c1bab2bcda5e1592c08fdbbd7ab4f8e4e7b9ca6ab298b22f35998fee,d0-h0.0-r0
X01,5,0,guarded-stable,planner-bypass,remote,True,accepted,False,authorization,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,125.125,2.792,127.917,7bfffee5c1bab2bcda5e1592c08fdbbd7ab4f8e4e7b9ca6ab298b22f35998fee,cd9f6aff25b38aab517b9f42c9c4986928376783e06d386334be45c23d011fd3,d0-h0.0-r0
X01,6,0,guarded-stable,stale-calibration,fallback,False,stale-metric,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,128.334,3.416,131.75,cd9f6aff25b38aab517b9f42c9c4986928376783e06d386334be45c23d011fd3,cfd2d8c04a4fda31963a9ee2987eaece0ed8fd93109298ff3efb841591ff226e,d0-h0.0-r0
X01,7,0,guarded-stable,link-outage,remote,True,accepted,True,accepted,0,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,131.0,3.334,134.334,cfd2d8c04a4fda31963a9ee2987eaece0ed8fd93109298ff3efb841591ff226e,37de2680723c7d0830878a628de523d28c74875c8c3e97c45f3137c9cb7997d7,d0-h0.0-r0
X01,8,0,guarded-stable,none,remote,True,accepted,True,accepted,0,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,126.166,3.208,129.374,37de2680723c7d0830878a628de523d28c74875c8c3e97c45f3137c9cb7997d7,6c4bfe0ce30930be1c5974470693da10d88ecd7ba8e5a713912f25b11b5347ba,d0-h0.0-r0
X01,9,0,guarded-stable,stale-record,fallback,False,expired,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,118.708,3.25,121.958,6c4bfe0ce30930be1c5974470693da10d88ecd7ba8e5a713912f25b11b5347ba,8c59b97091b277d9f71f6ae85640dc8acb465b88027e8b9553bbde689e9f79b0,d0-h0.0-r0
X01,10,0,guarded-stable,replay,fallback,False,replay,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,122.583,3.375,125.958,8c59b97091b277d9f71f6ae85640dc8acb465b88027e8b9553bbde689e9f79b0,90dfd604b8b1ae8d3efdcf9b1e3f07df4922afe0a946f8623deee91e5d2c1761,d0-h0.0-r0
X01,11,0,guarded-stable,corruption,fallback,False,signature,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,125.75,3.333,129.083,90dfd604b8b1ae8d3efdcf9b1e3f07df4922afe0a946f8623deee91e5d2c1761,77ac9722360683e589dfb07a30601e2dbfd3b0fe65c14340e66d97f59e518604,d0-h0.0-r0
X01,12,0,guarded-stable,infeasible-proposal,remote,True,accepted,False,capacity,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,138.042,3.541,141.583,77ac9722360683e589dfb07a30601e2dbfd3b0fe65c14340e66d97f59e518604,9636df049bdece418057ec17630de67ff133ff60601fb648ddaf6f4bcd3866eb,d0-h0.0-r0
X01,13,0,guarded-stable,planner-bypass,remote,True,accepted,False,authorization,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,131.042,2.667,133.709,9636df049bdece418057ec17630de67ff133ff60601fb648ddaf6f4bcd3866eb,f3878abf0f8908c3a6bf67f047dedc62c2935d8155adbb045a0e7ef8cd4ac7c0,d0-h0.0-r0
X01,14,0,guarded-stable,stale-calibration,fallback,False,stale-metric,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,129.125,3.292,132.417,f3878abf0f8908c3a6bf67f047dedc62c2935d8155adbb045a0e7ef8cd4ac7c0,6c6b147903819d7b01745609eacd4fe88747b6643b1f88339972d98ee0e23372,d0-h0.0-r0
X01,15,0,guarded-stable,link-outage,remote,True,accepted,True,accepted,0,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,129.292,3.375,132.667,6c6b147903819d7b01745609eacd4fe88747b6643b1f88339972d98ee0e23372,e0836c4990cf5ad38ddb61b574cd772d6e576bc6cec30837ecfdb75b7f896389,d0-h0.0-r0
X01,16,0,guarded-stable,none,remote,True,accepted,True,accepted,0,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,136.083,3.333,139.416,e0836c4990cf5ad38ddb61b574cd772d6e576bc6cec30837ecfdb75b7f896389,8cc4c983d5e0d6c56efcf28572fb279afca7f5ed638ef244813af31e7ce87d36,d0-h0.0-r0
X01,17,0,guarded-stable,stale-record,fallback,False,expired,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,129.917,3.417,133.334,8cc4c983d5e0d6c56efcf28572fb279afca7f5ed638ef244813af31e7ce87d36,a1e80ef4a49a33c810bfda3605d7eb00086ed805dff586d266b8c8d82df6d96c,d0-h0.0-r0
X01,18,0,guarded-stable,replay,fallback,False,replay,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,125.959,3.208,129.167,a1e80ef4a49a33c810bfda3605d7eb00086ed805dff586d266b8c8d82df6d96c,56da81317d923d8bdde7f3d8fa62477216025229eb91a38624cb3ddae2dac46c,d0-h0.0-r0
X01,19,0,guarded-stable,corruption,fallback,False,signature,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,124.167,3.292,127.459,56da81317d923d8bdde7f3d8fa62477216025229eb91a38624cb3ddae2dac46c,67d81ed327244213e3b7356bd13023abc554aa1651b94c58787fcbb6e35489d0,d0-h0.0-r0
X01,20,0,guarded-stable,infeasible-proposal,local,True,accepted,False,capacity,1,0,0,0,0,0,0,1,measured,modeled,0,0.0,0,127.416,3.208,130.624,67d81ed327244213e3b7356bd13023abc554aa1651b94c58787fcbb6e35489d0,8434ab220786b39b6d23c665f13a67b0226c437c1c472dae618bd9b939d4e733,d0-h0.0-r0
X01,21,0,guarded-stable,planner-bypass,remote,True,accepted,False,authorization,1,0,0,0,0,0,0,1,measured,modeled,0,0.0,0,128.584,2.75,131.334,8434ab220786b39b6d23c665f13a67b0226c437c1c472dae618bd9b939d4e733,1c97426e77ecca16e0861fd9bc12a20b6e71b8c8c8d759d7c865ec034a66a780,d0-h0.0-r0
X01,22,0,guarded-stable,stale-calibration,fallback,False,stale-metric,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,128.791,4.167,132.958,1c97426e77ecca16e0861fd9bc12a20b6e71b8c8c8d759d7c865ec034a66a780,a9598fe99977486b595db634aa57b94df1a030236fbcd05af3612e09220e85b2,d0-h0.0-r0
X01,23,0,guarded-stable,link-outage,remote,True,accepted,True,accepted,0,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,130.834,3.5,134.334,a9598fe99977486b595db634aa57b94df1a030236fbcd05af3612e09220e85b2,d9292f7a593e109ea5ef4f5cfabffbc116c3ff187a571f5bf6720f7f4c8dfe6a,d0-h0.0-r0
X01,24,0,guarded-stable,none,remote,True,accepted,True,accepted,0,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,128.834,4.167,133.001,d9292f7a593e109ea5ef4f5cfabffbc116c3ff187a571f5bf6720f7f4c8dfe6a,ba5c08d978e6ce189cbada1698e8df0c9421a779dc234fe5e7063497b9b9c49a,d0-h0.0-r0
X01,25,0,guarded-stable,stale-record,fallback,False,expired,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,136.834,3.333,140.167,ba5c08d978e6ce189cbada1698e8df0c9421a779dc234fe5e7063497b9b9c49a,275da133446cfa880513dcf75dd26b8d2490d47726c9d70718a649f1c5ef1b83,d0-h0.0-r0
X01,26,0,guarded-stable,replay,fallback,False,replay,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,125.083,3.167,128.25,275da133446cfa880513dcf75dd26b8d2490d47726c9d70718a649f1c5ef1b83,1c552e82676e65f63b470d76ea6459ca757aef6371c6b60dee7b4562a4ac08ad,d0-h0.0-r0
X01,27,0,guarded-stable,corruption,fallback,False,signature,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,126.916,3.292,130.208,1c552e82676e65f63b470d76ea6459ca757aef6371c6b60dee7b4562a4ac08ad,be46bbf23ab519af7e0121838134f493056191f0377b4734b1874052bed2fb6f,d0-h0.0-r0
X01,28,0,guarded-stable,infeasible-proposal,remote,True,accepted,False,capacity,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,128.375,3.292,131.667,be46bbf23ab519af7e0121838134f493056191f0377b4734b1874052bed2fb6f,40d7589c36d077293703fa4275fe81d3901d3593929f3705be06656fef56892d,d0-h0.0-r0
X01,29,0,guarded-stable,planner-bypass,remote,True,accepted,False,authorization,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,128.875,2.709,131.584,40d7589c36d077293703fa4275fe81d3901d3593929f3705be06656fef56892d,ca957c33635c16e39c847bb065a2aaa048fdd3240e61196befb638c4aa88c050,d0-h0.0-r0
X01,30,0,guarded-stable,stale-calibration,fallback,False,stale-metric,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,126.5,3.333,129.833,ca957c33635c16e39c847bb065a2aaa048fdd3240e61196befb638c4aa88c050,af925fa009468e6a34a9b92331f41daa87c4ac1ed2a94d35286de5140a7197e1,d0-h0.0-r0
X01,31,0,guarded-stable,link-outage,local,True,accepted,True,accepted,0,0,0,0,0,0,0,1,measured,modeled,0,0.0,0,129.25,3.333,132.583,af925fa009468e6a34a9b92331f41daa87c4ac1ed2a94d35286de5140a7197e1,794b070260690d065e035bc2b8a7bda536565589e9893bf37d6de7d0b10d9c00,d0-h0.0-r0
X01,32,0,guarded-stable,none,local,True,accepted,True,accepted,0,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,128.708,3.292,132.0,794b070260690d065e035bc2b8a7bda536565589e9893bf37d6de7d0b10d9c00,fdd4c31622d543124e7f9fa5e8ecdc7f9a45ee9d6560ed9a933f075e6e83ba7f,d0-h0.0-r0
X01,33,0,guarded-stable,stale-record,fallback,False,expired,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,124.833,3.292,128.125,fdd4c31622d543124e7f9fa5e8ecdc7f9a45ee9d6560ed9a933f075e6e83ba7f,a53dac6c9fff7b8cab3246bf8a3e5ceda2ff065a66c1598035be1fca51ad1cc3,d0-h0.0-r0
X01,34,0,guarded-stable,replay,fallback,False,replay,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,128.542,3.333,131.875,a53dac6c9fff7b8cab3246bf8a3e5ceda2ff065a66c1598035be1fca51ad1cc3,3c849b1b55629f987dda4e76e858daf5ed518dedced80473d201712d69009d16,d0-h0.0-r0
X01,35,0,guarded-stable,corruption,fallback,False,signature,True,accepted,1,0,0,0,0,0,0,0,measured,modeled,0,0.0,0,164.208,5.083,169.291,3c849b1b55629f987dda4e76e858daf5ed518dedced80473d201712d69009d16,d8a75d5be6805fb284365a5fc30f3c65d452b8be04fd500f3314f336a41596c7,d0-h0.0-r0
